keys,en,ru,pl,uk,de,nl
UI_MENU_PLAY,Play Game,Начать Игру,Rozpocznij Grę,Почати Гру,Spiel starten,Spel spelen
UI_MENU_CUSTOMIZE,Customize,Кастомизация,Dostosuj,Кастомізація,UI_MENU_CUSTOMIZE,Aanpassen
UI_MENU_EDITOR,Level Editor,Редактор,Edytor,Редактор,Editor,Editor
UI_MENU_THEARCHIVE,The Archive,Архив,Archiwum,Архів,UI_MENU_THEARCHIVE,Het Archief
UI_MENU_SETTINGS,Settings,Настройки,Ustawienia,Налаштування,Einstellungen,Instellingen
UI_MENU_EXTRAS,Extras,Дополнения,Dodatki,Додатки,UI_MENU_EXTRAS,Extra's
UI_MENU_STATS,Statistics,Статистика,Statystyki,Статистика,UI_MENU_STATS,UI_MENU_STATS
UI_MENU_CREDITS,Credits,Авторы,Autorzy,Автори,Autoren,Auteurs
UI_MENU_EXIT,Exit,Выход,Wyjście,Вихід,UI_MENU_EXIT,Uitgang
UI_MENU_NAVIGATION,Navigation,Выбор,Wybór,Вибір,UI_MENU_NAVIGATION,
UI_MENU_CONFIRM,Confirm,Подтвердить,Podtwierdzić,Підтвердження,UI_MENU_CONFIRM,
UI_MENU_PLAY_HINT,Start an official or custom adventure.,Начать игру в кампанию или пользовательские уровни.,"Zacznij grę na oficjalnych światach, lub poziomach społeczności.","Розпочати гру в офіційних світах, або рівнях спільноти.",UI_MENU_PLAY_HINT,Start een officieel of aangepast avontuur.
UI_MENU_EDITOR_HINT,Create your own levels.,UI_MENU_EDITOR_HINT,Stwórz własne poziomy.,Створюй свої рівні.,UI_MENU_EDITOR_HINT,
UI_MENU_SETTINGS_HINT,Change your preferences.,Сменить настройки игры.,Zmień ustawienia gry.,Змінити налаштування гри.,UI_MENU_SETTINGS_HINT,Wijzig uw voorkeuren.
UI_MENU_CREDITS_HINT,See authors and attributions.,Авторы игры и лицензионные соглашения.,Zobacz autorów i klauzule licencyjne.,Автори та ліцензії.,UI_MENU_CREDITS_HINT,UI_MENU_CUSTOMIZE_HINT
UI_MENU_CUSTOMIZE_HINT,Customize your character.,Настроить своего персонажа.,Dostosuj własną postać.,Налаштуй свого персонажа.,UI_MENU_EXTRAS_HINT,Extra inhoud voor het spel.
UI_MENU_EXTRAS_HINT,Additional content for the game.,Доп. контент для игры.,Dodatkowa zawartość gry.,Додатковий контент гри.,UI_MENU_EXTRAS_HINT,Extra inhoud voor het spel.
UI_MENU_EXIT_HINT,Exit the game to the desktop.,Выйти на рабочий стол.,Wróć do pulpitu.,Повернутися до робочого столу.,UI_MENU_EXIT_HINT,Sluit het spel af naar het bureaublad.
UI_MENU_BACK,Back,Назад,Wróć,Назад,UI_MENU_BACK,Rug
UI_COMINGSOON,Coming Soon!,Скоро Доступно!,Dostępne Wkrótce!,Скоро Доступне!,UI_COMINGSOON,UI_COMINGSOON
UI_MENU_WORLDSELECT,World Select,Выбор Мира,Wybór Świata,Вибір Світу,UI_MENU_WORLDSELECT,
UI_GAME_RESTART,Press {0} to restart!,Нажми {0} чтобы начать заново!,Naciśnij {0} by zacząć ponownie!,Натисни {0} щоб почати знову!,UI_GAME_RESTART,
UI_GAME_RESTART_GAMEPAD,Press [b]X[/b] to restart!,UI_GAME_RESTART_GAMEPAD,UI_GAME_RESTART_GAMEPAD,UI_GAME_RESTART_GAMEPAD,UI_GAME_RESTART_GAMEPAD,
UI_GAME_RESTART_TOUCH,Tap anywhere to restart!,UI_GAME_RESTART_TOUCH,UI_GAME_RESTART_TOUCH,UI_GAME_RESTART_TOUCH,UI_GAME_RESTART_TOUCH,
UI_SETTINGS_SECTION_GENERAL,General,Общие,Ogólne,Загальне,UI_SETTINGS_SECTION_GENERAL,
UI_SETTINGS_LANGUAGE,Language,Язык,Język,Мова,UI_SETTINGS_LANGUAGE,
UI_SETTINGS_TIMER,Timer,Таймер,Stoper,Таймер,UI_SETTINGS_TIMER,UI_SETTINGS_TIMER
UI_SETTINGS_RICHPRESENCE,Rich Presence,"""Rich Presence""","""Rich Presence""","""Rich Presence""",UI_SETTINGS_RICHPRESENCE,
UI_SETTINGS_SECTION_VIDEO,Video,Видео,Wideo,Відео,UI_SETTINGS_SECTION_VIDEO,
UI_SETTINGS_RESOLUTION,Resolution,Разрешение,Roździelczość,Здатність Єкрану,UI_SETTINGS_RESOLUTION,
UI_SETTINGS_QUALITY,Graphics Quality,Режим графики,Tryb grafiki,Режим графіки,UI_SETTINGS_QUALITY,
UI_SETTINGS_QUALITY_QUALITY,Quality,Качество,Detale,Якість,UI_SETTINGS_QUALITY_QUALITY,
UI_SETTINGS_QUALITY_PERFORMANCE,Performance,Производительность,Wydajność,Видайність,UI_SETTINGS_QUALITY_PERFORMANCE,
UI_SETTINGS_VSYNC,VSync,Vsync,VSync,VSync,VSync,
UI_SETTINGS_FPSLIMIT,FPS Limit,Лимит FPS,Limit FPS,Ліміт FPS,UI_SETTINGS_FPSLIMIT,UI_SETTINGS_FPSLIMIT
UI_SETTINGS_FULLSCREEN,Fullscreen,Полный Экран,Tryb Pełnoekranowy,Повне Зображення,UI_SETTINGS_FULLSCREEN,
UI_SETTINGS_SECTION_AUDIO,Audio,Звук,Dźwięk,Звук,UI_SETTINGS_SECTION_AUDIO,
UI_SETTINGS_MASTER_VOL,Master Volume,Общая Громкость,Głośność Ogólna,Загальна Гучність,UI_SETTINGS_MASTER_VOL,
UI_SETTINGS_SFX_VOL,SFX Volume,Громкость эффектов,Głośność Efektów,Гучність Ефектів,UI_SETTINGS_SFX_VOL,
UI_SETTINGS_MUSIC_VOL,Music Volume,Громкость Музыки,Głośność muzyki,Гучність Музики,UI_SETTINGS_MUSIC_VOL,
UI_SETTINGS_OPENDATAFOLDER,Open data folder,Открыть папку с данными,Otwórz folder danych,Відкрити папку з даними,,
